PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,CabinPresent,FamilySize
892,0,3,0,34.5,0,0,7.8292,2,0,1
893,1,3,1,47.0,1,0,7.0,0,0,2
894,0,2,0,62.0,0,0,9.6875,2,0,1
895,0,3,0,27.0,0,0,8.6625,0,0,1
896,1,3,1,22.0,1,1,12.2875,0,0,3
897,0,3,0,14.0,0,0,9.225,0,0,1
898,1,3,1,30.0,0,0,7.6292,2,0,1
899,0,2,0,26.0,1,1,29.0,0,0,3
900,1,3,1,18.0,0,0,7.2292,1,0,1
901,0,3,0,21.0,2,0,24.15,0,0,3
902,0,3,0,27.0,0,0,7.8958,0,0,1
903,0,1,0,46.0,0,0,26.0,0,0,1
904,1,1,1,23.0,1,0,82.2667,0,1,2
905,0,2,0,63.0,1,0,26.0,0,0,2
906,1,1,1,47.0,1,0,61.175,0,1,2
907,1,2,1,24.0,1,0,27.7208,1,0,2
908,0,2,0,35.0,0,0,12.35,2,0,1
909,0,3,0,21.0,0,0,7.225,1,0,1
910,1,3,1,27.0,1,0,7.925,0,0,2
911,1,3,1,45.0,0,0,7.225,1,0,1
912,0,1,0,55.0,1,0,59.4,1,0,2
913,0,3,0,9.0,0,1,3.1708,0,0,2
914,1,1,1,27.0,0,0,31.6833,0,0,1
915,0,1,0,21.0,0,1,61.3792,1,0,2
916,1,1,1,48.0,1,3,262.375,1,1,5
917,0,3,0,50.0,1,0,14.5,0,0,2
918,1,1,1,22.0,0,1,61.9792,1,1,2
919,0,3,0,22.5,0,0,7.225,1,0,1
920,0,1,0,41.0,0,0,30.5,0,1,1
921,0,3,0,27.0,2,0,21.6792,1,0,3
922,0,2,0,50.0,1,0,26.0,0,0,2
923,0,2,0,24.0,2,0,31.5,0,0,3
924,1,3,1,33.0,1,2,20.575,0,0,4
925,1,3,1,27.0,1,2,23.45,0,0,4
926,0,1,0,30.0,1,0,57.75,1,1,2
927,0,3,0,18.5,0,0,7.2292,1,0,1
928,1,3,1,27.0,0,0,8.05,0,0,1
929,1,3,1,21.0,0,0,8.6625,0,0,1
930,0,3,0,25.0,0,0,9.5,0,0,1
931,0,3,0,27.0,0,0,56.4958,0,0,1
932,0,3,0,39.0,0,1,13.4167,1,0,2
933,0,1,0,27.0,0,0,26.55,0,1,1
934,0,3,0,41.0,0,0,7.85,0,0,1
935,1,2,1,30.0,0,0,13.0,0,0,1
936,1,1,1,45.0,1,0,52.5542,0,1,2
937,0,3,0,25.0,0,0,7.925,0,0,1
938,0,1,0,45.0,0,0,29.7,1,1,1
939,0,3,0,27.0,0,0,7.75,2,0,1
940,1,1,1,60.0,0,0,76.2917,1,1,1
941,1,3,1,36.0,0,2,15.9,0,0,3
942,0,1,0,24.0,1,0,60.0,0,1,2
943,0,2,0,27.0,0,0,15.0333,1,0,1
944,1,2,1,20.0,2,1,23.0,0,0,4
945,1,1,1,28.0,3,2,263.0,0,1,6
946,0,2,0,27.0,0,0,15.5792,1,0,1
947,0,3,0,10.0,4,1,29.125,2,0,6
948,0,3,0,35.0,0,0,7.8958,0,0,1
949,0,3,0,25.0,0,0,7.65,0,1,1
950,0,3,0,27.0,1,0,16.1,0,0,2
951,1,1,1,36.0,0,0,262.375,1,1,1
952,0,3,0,17.0,0,0,7.8958,0,0,1
953,0,2,0,32.0,0,0,13.5,0,0,1
954,0,3,0,18.0,0,0,7.75,0,0,1
955,1,3,1,22.0,0,0,7.725,2,0,1
956,0,1,0,13.0,2,2,262.375,1,1,5
957,1,2,1,27.0,0,0,21.0,0,0,1
958,1,3,1,18.0,0,0,7.8792,2,0,1
959,0,1,0,47.0,0,0,42.4,0,0,1
960,0,1,0,31.0,0,0,28.5375,1,1,1
961,1,1,1,60.0,1,4,263.0,0,1,6
962,1,3,1,24.0,0,0,7.75,2,0,1
963,0,3,0,21.0,0,0,7.8958,0,0,1
964,1,3,1,29.0,0,0,7.925,0,0,1
965,0,1,0,28.5,0,0,27.7208,1,1,1
966,1,1,1,35.0,0,0,211.5,1,1,1
967,0,1,0,32.5,0,0,211.5,1,1,1
968,0,3,0,27.0,0,0,8.05,0,0,1
969,1,1,1,55.0,2,0,25.7,0,1,3
970,0,2,0,30.0,0,0,13.0,0,0,1
971,1,3,1,24.0,0,0,7.75,2,0,1
972,0,3,0,6.0,1,1,15.2458,1,0,3
973,0,1,0,67.0,1,0,221.7792,0,1,2
974,0,1,0,49.0,0,0,26.0,0,0,1
975,0,3,0,27.0,0,0,7.8958,0,0,1
976,0,2,0,27.0,0,0,10.7083,2,0,1
977,0,3,0,27.0,1,0,14.4542,1,0,2
978,1,3,1,27.0,0,0,7.8792,2,0,1
979,1,3,1,18.0,0,0,8.05,0,0,1
980,1,3,1,27.0,0,0,7.75,2,0,1
981,0,2,0,2.0,1,1,23.0,0,0,3
982,1,3,1,22.0,1,0,13.9,0,0,2
983,0,3,0,27.0,0,0,7.775,0,0,1
984,1,1,1,27.0,1,2,52.0,0,1,4
985,0,3,0,27.0,0,0,8.05,0,0,1
986,0,1,0,25.0,0,0,26.0,1,0,1
987,0,3,0,25.0,0,0,7.7958,0,0,1
988,1,1,1,76.0,1,0,78.85,0,1,2
989,0,3,0,29.0,0,0,7.925,0,0,1
990,1,3,1,20.0,0,0,7.8542,0,0,1
991,0,3,0,33.0,0,0,8.05,0,0,1
992,1,1,1,43.0,1,0,55.4417,1,1,2
993,0,2,0,27.0,1,0,26.0,0,0,2
994,0,3,0,27.0,0,0,7.75,2,0,1
995,0,3,0,26.0,0,0,7.775,0,0,1
996,1,3,1,16.0,1,1,8.5167,1,0,3
997,0,3,0,28.0,0,0,22.525,0,0,1
998,0,3,0,21.0,0,0,7.8208,2,0,1
999,0,3,0,27.0,0,0,7.75,2,0,1
1000,0,3,0,27.0,0,0,8.7125,0,0,1
1001,0,2,0,18.5,0,0,13.0,0,1,1
1002,0,2,0,41.0,0,0,15.0458,1,0,1
1003,1,3,1,27.0,0,0,7.7792,2,0,1
1004,1,1,1,36.0,0,0,31.6792,1,1,1
1005,1,3,1,18.5,0,0,7.2833,2,0,1
1006,1,1,1,63.0,1,0,221.7792,0,1,2
1007,0,3,0,18.0,1,0,14.4542,1,0,2
1008,0,3,0,27.0,0,0,6.4375,1,0,1
1009,1,3,1,1.0,1,1,16.7,0,1,3
1010,0,1,0,36.0,0,0,75.2417,1,1,1
1011,1,2,1,29.0,1,0,26.0,0,0,2
1012,1,2,1,12.0,0,0,15.75,0,0,1
1013,0,3,0,27.0,1,0,7.75,2,0,2
1014,1,1,1,35.0,1,0,57.75,1,1,2
1015,0,3,0,28.0,0,0,7.25,0,0,1
1016,0,3,0,27.0,0,0,7.75,2,0,1
1017,1,3,1,17.0,0,1,16.1,0,0,2
1018,0,3,0,22.0,0,0,7.7958,0,0,1
1019,1,3,1,27.0,2,0,23.25,2,0,3
1020,0,2,0,42.0,0,0,13.0,0,0,1
1021,0,3,0,24.0,0,0,8.05,0,0,1
1022,0,3,0,32.0,0,0,8.05,0,0,1
1023,0,1,0,53.0,0,0,28.5,1,1,1
1024,1,3,1,27.0,0,4,25.4667,0,0,5
1025,0,3,0,27.0,1,0,6.4375,1,0,2
1026,0,3,0,43.0,0,0,7.8958,0,0,1
1027,0,3,0,24.0,0,0,7.8542,0,0,1
1028,0,3,0,26.5,0,0,7.225,1,0,1
1029,0,2,0,26.0,0,0,13.0,0,0,1
1030,1,3,1,23.0,0,0,8.05,0,0,1
1031,0,3,0,40.0,1,6,46.9,0,0,8
1032,1,3,1,10.0,5,2,46.9,0,0,8
1033,1,1,1,33.0,0,0,151.55,0,0,1
1034,0,1,0,61.0,1,3,262.375,1,1,5
1035,0,2,0,28.0,0,0,26.0,0,0,1
1036,0,1,0,42.0,0,0,26.55,0,0,1
1037,0,3,0,31.0,3,0,18.0,0,0,4
1038,0,1,0,27.0,0,0,51.8625,0,1,1
1039,0,3,0,22.0,0,0,8.05,0,0,1
1040,0,1,0,27.0,0,0,26.55,0,0,1
1041,0,2,0,30.0,1,1,26.0,0,0,3
1042,1,1,1,23.0,0,1,83.1583,1,1,2
1043,0,3,0,27.0,0,0,7.8958,1,0,1
1044,0,3,0,60.5,0,0,,0,0,1
1045,1,3,1,36.0,0,2,12.1833,0,0,3
1046,0,3,0,13.0,4,2,31.3875,0,0,7
1047,0,3,0,24.0,0,0,7.55,0,0,1
1048,1,1,1,29.0,0,0,221.7792,0,1,1
1049,1,3,1,23.0,0,0,7.8542,0,0,1
1050,0,1,0,42.0,0,0,26.55,0,1,1
1051,1,3,1,26.0,0,2,13.775,0,0,3
1052,1,3,1,27.0,0,0,7.7333,2,0,1
1053,0,3,0,7.0,1,1,15.2458,1,0,3
1054,1,2,1,26.0,0,0,13.5,0,0,1
1055,0,3,0,27.0,0,0,7.0,0,0,1
1056,0,2,0,41.0,0,0,13.0,0,0,1
1057,1,3,1,26.0,1,1,22.025,0,0,3
1058,0,1,0,48.0,0,0,50.4958,1,1,1
1059,0,3,0,18.0,2,2,34.375,0,0,5
1060,1,1,1,27.0,0,0,27.7208,1,0,1
1061,1,3,1,22.0,0,0,8.9625,0,0,1
1062,0,3,0,27.0,0,0,7.55,0,0,1
1063,0,3,0,27.0,0,0,7.225,1,0,1
1064,0,3,0,23.0,1,0,13.9,0,0,2
1065,0,3,0,27.0,0,0,7.2292,1,0,1
1066,0,3,0,40.0,1,5,31.3875,0,0,7
1067,1,2,1,15.0,0,2,39.0,0,0,3
1068,1,2,1,20.0,0,0,36.75,0,0,1
1069,0,1,0,54.0,1,0,55.4417,1,1,2
1070,1,2,1,36.0,0,3,39.0,0,1,4
1071,1,1,1,64.0,0,2,83.1583,1,1,3
1072,0,2,0,30.0,0,0,13.0,0,0,1
1073,0,1,0,37.0,1,1,83.1583,1,1,3
1074,1,1,1,18.0,1,0,53.1,0,1,2
1075,0,3,0,27.0,0,0,7.75,2,0,1
1076,1,1,1,27.0,1,1,247.5208,1,1,3
1077,0,2,0,40.0,0,0,16.0,0,0,1
1078,1,2,1,21.0,0,1,21.0,0,0,2
1079,0,3,0,17.0,2,0,8.05,0,0,3
1080,1,3,1,27.0,8,2,69.55,0,0,11
1081,0,2,0,40.0,0,0,13.0,0,0,1
1082,0,2,0,34.0,1,0,26.0,0,0,2
1083,0,1,0,27.0,0,0,26.0,0,0,1
1084,0,3,0,11.5,1,1,14.5,0,0,3
1085,0,2,0,61.0,0,0,12.35,2,0,1
1086,0,2,0,8.0,0,2,32.5,0,0,3
1087,0,3,0,33.0,0,0,7.8542,0,0,1
1088,0,1,0,6.0,0,2,134.5,1,1,3
1089,1,3,1,18.0,0,0,7.775,0,0,1
1090,0,2,0,23.0,0,0,10.5,0,0,1
1091,1,3,1,27.0,0,0,8.1125,0,0,1
1092,1,3,1,27.0,0,0,15.5,2,0,1
1093,0,3,0,0.33,0,2,14.4,0,0,3
1094,0,1,0,47.0,1,0,227.525,1,1,2
1095,1,2,1,8.0,1,1,26.0,0,0,3
1096,0,2,0,25.0,0,0,10.5,0,0,1
1097,0,1,0,27.0,0,0,25.7417,1,0,1
1098,1,3,1,35.0,0,0,7.75,2,0,1
1099,0,2,0,24.0,0,0,10.5,0,0,1
1100,1,1,1,33.0,0,0,27.7208,1,1,1
1101,0,3,0,25.0,0,0,7.8958,0,0,1
1102,0,3,0,32.0,0,0,22.525,0,0,1
1103,0,3,0,27.0,0,0,7.05,0,0,1
1104,0,2,0,17.0,0,0,73.5,0,0,1
1105,1,2,1,60.0,1,0,26.0,0,0,2
1106,1,3,1,38.0,4,2,7.775,0,0,7
1107,0,1,0,42.0,0,0,42.5,0,1,1
1108,1,3,1,27.0,0,0,7.8792,2,0,1
1109,0,1,0,57.0,1,1,164.8667,0,0,3
1110,1,1,1,50.0,1,1,211.5,1,1,3
1111,0,3,0,27.0,0,0,8.05,0,0,1
1112,1,2,1,30.0,1,0,13.8583,1,0,2
1113,0,3,0,21.0,0,0,8.05,0,0,1
1114,1,2,1,22.0,0,0,10.5,0,1,1
1115,0,3,0,21.0,0,0,7.7958,0,0,1
1116,1,1,1,53.0,0,0,27.4458,1,0,1
1117,1,3,1,27.0,0,2,15.2458,1,0,3
1118,0,3,0,23.0,0,0,7.7958,0,0,1
1119,1,3,1,27.0,0,0,7.75,2,0,1
1120,0,3,0,40.5,0,0,15.1,0,0,1
1121,0,2,0,36.0,0,0,13.0,0,0,1
1122,0,2,0,14.0,0,0,65.0,0,0,1
1123,1,1,1,21.0,0,0,26.55,0,0,1
1124,0,3,0,21.0,1,0,6.4958,0,0,2
1125,0,3,0,27.0,0,0,7.8792,2,0,1
1126,0,1,0,39.0,1,0,71.2833,1,1,2
1127,0,3,0,20.0,0,0,7.8542,0,0,1
1128,0,1,0,64.0,1,0,75.25,1,1,2
1129,0,3,0,20.0,0,0,7.225,1,0,1
1130,1,2,1,18.0,1,1,13.0,0,0,3
1131,1,1,1,48.0,1,0,106.425,1,1,2
1132,1,1,1,55.0,0,0,27.7208,1,0,1
1133,1,2,1,45.0,0,2,30.0,0,0,3
1134,0,1,0,45.0,1,1,134.5,1,1,3
1135,0,3,0,27.0,0,0,7.8875,0,0,1
1136,0,3,0,27.0,1,2,23.45,0,0,4
1137,0,1,0,41.0,1,0,51.8625,0,1,2
1138,1,2,1,22.0,0,0,21.0,0,0,1
1139,0,2,0,42.0,1,1,32.5,0,0,3
1140,1,2,1,29.0,1,0,26.0,0,0,2
1141,1,3,1,27.0,1,0,14.4542,1,0,2
1142,1,2,1,0.92,1,2,27.75,0,0,4
1143,0,3,0,20.0,0,0,7.925,0,0,1
1144,0,1,0,27.0,1,0,136.7792,1,1,2
1145,0,3,0,24.0,0,0,9.325,0,0,1
1146,0,3,0,32.5,0,0,9.5,0,0,1
1147,0,3,0,27.0,0,0,7.55,0,0,1
1148,0,3,0,27.0,0,0,7.75,2,0,1
1149,0,3,0,28.0,0,0,8.05,0,0,1
1150,1,2,1,19.0,0,0,13.0,0,0,1
1151,0,3,0,21.0,0,0,7.775,0,0,1
1152,0,3,0,36.5,1,0,17.4,0,0,2
1153,0,3,0,21.0,0,0,7.8542,0,0,1
1154,1,2,1,29.0,0,2,23.0,0,0,3
1155,1,3,1,1.0,1,1,12.1833,0,0,3
1156,0,2,0,30.0,0,0,12.7375,1,0,1
1157,0,3,0,27.0,0,0,7.8958,0,0,1
1158,0,1,0,27.0,0,0,0.0,0,0,1
1159,0,3,0,27.0,0,0,7.55,0,0,1
1160,1,3,1,27.0,0,0,8.05,0,0,1
1161,0,3,0,17.0,0,0,8.6625,0,0,1
1162,0,1,0,46.0,0,0,75.2417,1,1,1
1163,0,3,0,27.0,0,0,7.75,2,0,1
1164,1,1,1,26.0,1,0,136.7792,1,1,2
1165,1,3,1,27.0,1,0,15.5,2,0,2
1166,0,3,0,27.0,0,0,7.225,1,0,1
1167,1,2,1,20.0,1,0,26.0,0,0,2
1168,0,2,0,28.0,0,0,10.5,0,0,1
1169,0,2,0,40.0,1,0,26.0,0,0,2
1170,0,2,0,30.0,1,0,21.0,0,0,2
1171,0,2,0,22.0,0,0,10.5,0,0,1
1172,1,3,1,23.0,0,0,8.6625,0,0,1
1173,0,3,0,0.75,1,1,13.775,0,0,3
1174,1,3,1,27.0,0,0,7.75,2,0,1
1175,1,3,1,9.0,1,1,15.2458,1,0,3
1176,1,3,1,2.0,1,1,20.2125,0,0,3
1177,0,3,0,36.0,0,0,7.25,0,0,1
1178,0,3,0,27.0,0,0,7.25,0,0,1
1179,0,1,0,24.0,1,0,82.2667,0,1,2
1180,0,3,0,27.0,0,0,7.2292,1,1,1
1181,0,3,0,27.0,0,0,8.05,0,0,1
1182,0,1,0,27.0,0,0,39.6,0,0,1
1183,1,3,1,30.0,0,0,6.95,2,0,1
1184,0,3,0,27.0,0,0,7.2292,1,0,1
1185,0,1,0,53.0,1,1,81.8583,0,1,3
1186,0,3,0,36.0,0,0,9.5,0,0,1
1187,0,3,0,26.0,0,0,7.8958,0,0,1
1188,1,2,1,1.0,1,2,41.5792,1,0,4
1189,0,3,0,27.0,2,0,21.6792,1,0,3
1190,0,1,0,30.0,0,0,45.5,0,0,1
1191,0,3,0,29.0,0,0,7.8542,0,0,1
1192,0,3,0,32.0,0,0,7.775,0,0,1
1193,0,2,0,27.0,0,0,15.0458,1,1,1
1194,0,2,0,43.0,0,1,21.0,0,0,2
1195,0,3,0,24.0,0,0,8.6625,0,0,1
1196,1,3,1,27.0,0,0,7.75,2,0,1
1197,1,1,1,64.0,1,1,26.55,0,1,3
1198,0,1,0,30.0,1,2,151.55,0,1,4
1199,0,3,0,0.83,0,1,9.35,0,0,2
1200,0,1,0,55.0,1,1,93.5,0,1,3
1201,1,3,1,45.0,1,0,14.1083,0,0,2
1202,0,3,0,18.0,0,0,8.6625,0,0,1
1203,0,3,0,22.0,0,0,7.225,1,0,1
1204,0,3,0,27.0,0,0,7.575,0,0,1
1205,1,3,1,37.0,0,0,7.75,2,0,1
1206,1,1,1,55.0,0,0,135.6333,1,1,1
1207,1,3,1,17.0,0,0,7.7333,2,0,1
1208,0,1,0,57.0,1,0,146.5208,1,1,2
1209,0,2,0,19.0,0,0,10.5,0,0,1
1210,0,3,0,27.0,0,0,7.8542,0,0,1
1211,0,2,0,22.0,2,0,31.5,0,0,3
1212,0,3,0,26.0,0,0,7.775,0,0,1
1213,0,3,0,25.0,0,0,7.2292,1,1,1
1214,0,2,0,26.0,0,0,13.0,0,1,1
1215,0,1,0,33.0,0,0,26.55,0,0,1
1216,1,1,1,39.0,0,0,211.3375,0,0,1
1217,0,3,0,23.0,0,0,7.05,0,0,1
1218,1,2,1,12.0,2,1,39.0,0,1,4
1219,0,1,0,46.0,0,0,79.2,1,0,1
1220,0,2,0,29.0,1,0,26.0,0,0,2
1221,0,2,0,21.0,0,0,13.0,0,0,1
1222,1,2,1,48.0,0,2,36.75,0,0,3
1223,0,1,0,39.0,0,0,29.7,1,1,1
1224,0,3,0,27.0,0,0,7.225,1,0,1
1225,1,3,1,19.0,1,1,15.7417,1,0,3
1226,0,3,0,27.0,0,0,7.8958,0,0,1
1227,0,1,0,30.0,0,0,26.0,0,1,1
1228,0,2,0,32.0,0,0,13.0,0,0,1
1229,0,3,0,39.0,0,2,7.2292,1,0,3
1230,0,2,0,25.0,0,0,31.5,0,0,1
1231,0,3,0,27.0,0,0,7.2292,1,0,1
1232,0,2,0,18.0,0,0,10.5,0,0,1
1233,0,3,0,32.0,0,0,7.5792,0,0,1
1234,0,3,0,27.0,1,9,69.55,0,0,11
1235,1,1,1,58.0,0,1,512.3292,1,1,2
1236,0,3,0,27.0,1,1,14.5,0,0,3
1237,1,3,1,16.0,0,0,7.65,0,0,1
1238,0,2,0,26.0,0,0,13.0,0,0,1
1239,1,3,1,38.0,0,0,7.2292,1,0,1
1240,0,2,0,24.0,0,0,13.5,0,0,1
1241,1,2,1,31.0,0,0,21.0,0,0,1
1242,1,1,1,45.0,0,1,63.3583,1,1,2
1243,0,2,0,25.0,0,0,10.5,0,0,1
1244,0,2,0,18.0,0,0,73.5,0,0,1
1245,0,2,0,49.0,1,2,65.0,0,0,4
1246,1,3,1,0.17,1,2,20.575,0,0,4
1247,0,1,0,50.0,0,0,26.0,0,1,1
1248,1,1,1,59.0,2,0,51.4792,0,1,3
1249,0,3,0,27.0,0,0,7.8792,0,0,1
1250,0,3,0,27.0,0,0,7.75,2,0,1
1251,1,3,1,30.0,1,0,15.55,0,0,2
1252,0,3,0,14.5,8,2,69.55,0,0,11
1253,1,2,1,24.0,1,1,37.0042,1,0,3
1254,1,2,1,31.0,0,0,21.0,0,0,1
1255,0,3,0,27.0,0,0,8.6625,0,0,1
1256,1,1,1,25.0,1,0,55.4417,1,1,2
1257,1,3,1,27.0,1,9,69.55,0,0,11
1258,0,3,0,27.0,1,0,14.4583,1,0,2
1259,1,3,1,22.0,0,0,39.6875,0,0,1
1260,1,1,1,45.0,0,1,59.4,1,0,2
1261,0,2,0,29.0,0,0,13.8583,1,0,1
1262,0,2,0,21.0,1,0,11.5,0,0,2
1263,1,1,1,31.0,0,0,134.5,1,1,1
1264,0,1,0,49.0,0,0,0.0,0,1,1
1265,0,2,0,44.0,0,0,13.0,0,0,1
1266,1,1,1,54.0,1,1,81.8583,0,1,3
1267,1,1,1,45.0,0,0,262.375,1,0,1
1268,1,3,1,22.0,2,0,8.6625,0,0,3
1269,0,2,0,21.0,0,0,11.5,0,0,1
1270,0,1,0,55.0,0,0,50.0,0,1,1
1271,0,3,0,5.0,4,2,31.3875,0,0,7
1272,0,3,0,27.0,0,0,7.75,2,0,1
1273,0,3,0,26.0,0,0,7.8792,2,0,1
1274,1,3,1,27.0,0,0,14.5,0,0,1
1275,1,3,1,19.0,1,0,16.1,0,0,2
1276,0,2,0,27.0,0,0,12.875,0,0,1
1277,1,2,1,24.0,1,2,65.0,0,0,4
1278,0,3,0,24.0,0,0,7.775,0,0,1
1279,0,2,0,57.0,0,0,13.0,0,0,1
1280,0,3,0,21.0,0,0,7.75,2,0,1
1281,0,3,0,6.0,3,1,21.075,0,0,5
1282,0,1,0,23.0,0,0,93.5,0,1,1
1283,1,1,1,51.0,0,1,39.4,0,1,2
1284,0,3,0,13.0,0,2,20.25,0,0,3
1285,0,2,0,47.0,0,0,10.5,0,0,1
1286,0,3,0,29.0,3,1,22.025,0,0,5
1287,1,1,1,18.0,1,0,60.0,0,1,2
1288,0,3,0,24.0,0,0,7.25,2,0,1
1289,1,1,1,48.0,1,1,79.2,1,1,3
1290,0,3,0,22.0,0,0,7.775,0,0,1
1291,0,3,0,31.0,0,0,7.7333,2,0,1
1292,1,1,1,30.0,0,0,164.8667,0,1,1
1293,0,2,0,38.0,1,0,21.0,0,0,2
1294,1,1,1,22.0,0,1,59.4,1,0,2
1295,0,1,0,17.0,0,0,47.1,0,0,1
1296,0,1,0,43.0,1,0,27.7208,1,1,2
1297,0,2,0,20.0,0,0,13.8625,1,1,1
1298,0,2,0,23.0,1,0,10.5,0,0,2
1299,0,1,0,50.0,1,1,211.5,1,1,3
1300,1,3,1,27.0,0,0,7.7208,2,0,1
1301,1,3,1,3.0,1,1,13.775,0,0,3
1302,1,3,1,27.0,0,0,7.75,2,0,1
1303,1,1,1,37.0,1,0,90.0,2,1,2
1304,1,3,1,28.0,0,0,7.775,0,0,1
1305,0,3,0,27.0,0,0,8.05,0,0,1
1306,1,1,1,39.0,0,0,108.9,1,1,1
1307,0,3,0,38.5,0,0,7.25,0,0,1
1308,0,3,0,27.0,0,0,8.05,0,0,1
1309,0,3,0,27.0,1,1,22.3583,1,0,3
